,Winners,Losers
688,Yohan Lainesse,Darian Weeks
689,Ciryl Gane,Tai Tuivasa
690,Robert Whittaker,Marvin Vettori
691,Nassourdine Imavov,Joaquin Buckley
692,Roman Kopylov,Alessio Di Chirico
693,William Gomis,Jarno Errens
694,Nathaniel Wood,Charles Jourdain
695,Abus Magomedov,Dustin Stoltzfus
696,Nasrat Haqparast,John Makdessi
697,Fares Ziam,Michal Figlak
698,Benoit Saint Denis,Gabriel Miranda
699,Cristian Quinonez,Khalid Taha
700,Stephanie Egger,Ailin Perez
701,Leon Edwards,Kamaru Usman
702,Paulo Costa,Luke Rockhold
703,Merab Dvalishvili,Jose Aldo
704,Lucie Pudilova,Wu Yanan
705,Tyson Pedro,Harry Hunsucker
706,Marcin Tybura,Alexandr Romanov
707,Jared Gordon,Leonardo Santos
708,Sean Woodson,Luis Saldana
709,Ange Loosa,AJ Fletcher
710,Amir Albazi,Francisco Figueiredo
711,Aoriqileng,Jay Perrin
712,Victor Altamirano,Daniel Lacerda
713,Marlon Vera,Dominick Cruz
714,Nate Landwehr,David Onama
715,Yazmin Jauregui,Iasmin Lucindo
716,Azamat Murzakanov,Devin Clark
717,Priscila Cachoeira,Ariane Lipski
718,Gerald Meerschaert,Bruno Silva
719,Angela Hill,Loopy Godinez
720,Martin Buday,Lukasz Brzeski
721,Nina Nunes,Cynthia Calvillo
722,Gabriel Benitez,Charlie Ontiveros
723,Tyson Nam,Ode Osbourne
724,Josh Quinlan,Jason Witt
725,Youssef Zalal,Da'Mon Blackshear
726,Jamahal Hill,Thiago Santos
727,Geoff Neal,Vicente Luque
728,Mohammed Usman,Zac Pauga
729,Juliana Miller,Brogan Walker
730,Serghei Spivac,Augusto Sakai
731,Terrance McKinney,Erick Gonzalez
732,Michal Oleksiejczuk,Sam Alvey
733,Bryan Battle,Takashi Sato
734,Cory McKenna,Miranda Granger
735,Mayra Bueno Silva,Stephanie Egger
736,Amanda Nunes,Julianna Pena
737,Brandon Moreno,Kai Kara-France
738,Sergei Pavlovich,Derrick Lewis
739,Alexandre Pantoja,Alex Perez
740,Magomed Ankalaev,Anthony Smith
741,Alex Morono,Matthew Semelsberger
742,Drew Dober,Rafael Alves
743,Don'Tale Mayes,Hamdy Abdelwahab
744,Drakkar Klose,Rafa Garcia
745,Michael Morales,Adam Fugitt
746,Joselyne Edwards,Ji Yeon Kim
747,Nicolae Negumereanu,Ihor Potieria
748,Orion Cosce,Blood Diamond
749,Curtis Blaydes,Tom Aspinall
750,Jack Hermansson,Chris Curtis
751,Paddy Pimblett,Jordan Leavitt
752,Nikita Krylov,Alexander Gustafsson
753,Molly McCann,Hannah Goldy
754,Volkan Oezdemir,Paul Craig
755,Ludovit Klein,Mason Jones
756,Marc Diakiese,Damir Hadzovic
757,Nathaniel Wood,Charles Rosa
758,Jonathan Pearce,Makwan Amirkhani
759,Muhammad Mokaev,Charles Johnson
760,Jai Herbert,Kyle Nelson
761,Victoria Leonardo,Mandy Bohm
762,Nicolas Dalby,Claudio Silva
763,Yair Rodriguez,Brian Ortega
764,Amanda Lemos,Michelle Waterson-Gomez
765,Li Jingliang,Muslim Salikhov
766,Matt Schnell,Sumudaerji
767,Shane Burgos,Charles Jourdain
768,Lauren Murphy,Miesha Tate
769,Punahele Soriano,Dalcha Lungiambula
770,Ricky Simon,Jack Shore
771,Bill Algeo,Herbert Burns
772,Dustin Jacoby,Da Woon Jung
773,Dustin Stoltzfus,Dwight Grant
774,Emily Ducote,Jessica Penne
775,Rafael Fiziev,Rafael Dos Anjos
776,Caio Borralho,Armen Petrosyan
777,Said Nurmagomedov,Douglas Silva de Andrade
778,Chase Sherman,Jared Vanderaa
779,Aiemann Zahabi,Ricky Turcios
780,Jamie Mullarkey,Michael Johnson
781,Cody Brundage,Tresean Gore
782,Antonina Shevchenko,Cortney Casey
783,David Onama,Garrett Armfield
784,Kennedy Nzechukwu,Karl Roberson
785,Saidyokub Kakhramonov,Ronnie Lawrence
786,Israel Adesanya,Jared Cannonier
787,Alexander Volkanovski,Max Holloway
788,Alex Pereira,Sean Strickland
789,Bryan Barberena,Robbie Lawler
790,Pedro Munhoz,Sean O'Malley
791,Jalin Turner,Brad Riddell
792,Jim Miller,Donald Cerrone
793,Ian Garry,Gabe Green
794,Dricus Du Plessis,Brad Tavares
795,Andre Muniz,Uriah Hall
796,Maycee Barber,Jessica Eye
797,Julija Stoliarenko,Jessica-Rose Clark
798,Mateusz Gamrot,Arman Tsarukyan
799,Shavkat Rakhmonov,Neil Magny
800,Josh Parisian,Alan Baudot
801,Thiago Moises,Christos Giagos
802,Umar Nurmagomedov,Nate Maness
803,Chris Curtis,Rodolfo Vieira
804,Carlos Ulberg,Tafon Nchukwi
805,Shayilan Nuerdanbieke,TJ Brown
806,Sergey Morozov,Raulian Paiva
807,Cody Durden,JP Buys
808,Mario Bautista,Brian Kelleher
809,Vanessa Demopoulos,Jinh Yu Frey
810,Josh Emmett,Calvin Kattar
811,Kevin Holland,Tim Means
812,Joaquin Buckley,Albert Duraev
813,Damir Ismagulov,Guram Kutateladze
814,Gregory Rodrigues,Julian Marquez
815,Adrian Yanez,Tony Kelley
816,Natalia Silva,Jasmine Jasudavicius
817,Jeremiah Wells,Court McGee
818,Ricardo Ramos,Danny Chavez
819,Maria Oliveira,Gloria de Paula
820,Cody Stamann,Eddie Wineland
821,Phil Hawes,Deron Winn
822,Roman Dolidze,Kyle Daukaus
823,Jiri Prochazka,Glover Teixeira
824,Valentina Shevchenko,Taila Santos
825,Zhang Weili,Joanna Jedrzejczyk
826,Jake Matthews,Andre Fialho
827,Jack Della Maddalena,Ramazan Emeev
828,Josh Culibao,SeungWoo Choi
829,Maheshate,Steve Garcia
830,Brendan Allen,Jacob Malkoun
831,Kyung Ho Kang,Batgerel Danaa
832,Silvana Gomez Juarez,Liang Na
833,Joselyne Edwards,Ramona Pascual
834,Alexander Volkov,Jairzinho Rozenstruik
835,Movsar Evloev,Dan Ige
836,Lucas Almeida,Michael Trizano
837,Karine Silva,Poliana Botelho
838,Ode Osbourne,Zarrukh Adashev
839,Alonzo Menifield,Askar Mozharov
840,Karolina Kowalkiewicz,Felice Herrig
841,Joe Solecki,Alex Da Silva
842,Damon Jackson,Dan Argueta
843,Benoit Saint Denis,Niklas Stolze
844,Tony Gravely,Johnny Munoz
845,Jeff Molina,Zhalgas Zhumagulov
846,Rinat Fakhretdinov,Andreas Michailidis
847,Erin Blanchfield,JJ Aldrich
848,Ketlen Vieira,Holly Holm
849,Michel Pereira,Santiago Ponzinibbio
850,Chidi Njokuani,Dusko Todorovic
851,Tabatha Ricci,Polyana Viana
852,JunYong Park,Eryk Anders
853,Joseph Holmes,Alen Amedovski
854,Jailton Almeida,Parker Porter
855,Uros Medic,Omar Morales
856,Jonathan Martinez,Vince Morales
857,Chase Hooper,Felipe Colares
858,Sam Hughes,Elise Reed
859,Jan Blachowicz,Aleksandar Rakic
860,Ryan Spann,Ion Cutelaba
861,Davey Grant,Louis Smolka
862,Katlyn Cerminara,Amanda Ribas
863,Manuel Torres,Frank Camacho
864,Allan Nascimento,Jake Hadley
865,Viviane Araujo,Andrea Lee
866,Michael Johnson,Alan Patrick
867,Virna Jandiroba,Angela Hill
868,Tatsuro Taira,Carlos Candelario
869,Andre Petroski,Nick Maximov
870,Charles Oliveira,Justin Gaethje
871,Carla Esparza,Rose Namajunas
872,Michael Chandler,Tony Ferguson
873,Ovince Saint Preux,Mauricio Rua
874,Randy Brown,Khaos Williams
875,Francisco Trinaldo,Danny Roberts
876,Macy Chiasson,Norma Dumont
877,Brandon Royval,Matt Schnell
878,Blagoy Ivanov,Marcos Rogerio de Lima
879,Andre Fialho,Cameron VanCamp
880,Tracy Cortez,Melissa Gatto
881,CJ Vergara,Kleydson Rodrigues
882,Loopy Godinez,Ariane Carnelossi
883,Journey Newson,Fernie Garcia
884,Marlon Vera,Rob Font
885,Andrei Arlovski,Jake Collier
886,Joanderson Brito,Andre Fili
887,Grant Dawson,Jared Gordon
888,Darren Elkins,Tristan Connelly
889,Krzysztof Jotko,Gerald Meerschaert
890,Alexandr Romanov,Chase Sherman
891,Francisco Figueiredo,Daniel Lacerda
892,Gabe Green,Yohan Lainesse
893,Natan Levy,Mike Breeden
894,Shanna Young,Gina Mazany
895,Jessica Andrade,Amanda Lemos
896,Claudio Puelles,Clay Guida
897,Maycee Barber,Montana De La Rosa
898,Charles Jourdain,Lando Vannata
899,Marc-Andre Barriault,Jordan Wright
900,Sergey Khandozhko,Dwight Grant
901,Tyson Pedro,Ike Villanueva
902,Aoriqileng,Cameron Else
903,Preston Parsons,Evan Elder
904,Philipe Lins,Marcin Prachnio
905,Mike Jackson,Dean Barry
906,Belal Muhammad,Vicente Luque
907,Caio Borralho,Gadzhi Omargadzhiev
908,Andre Fialho,Miguel Baeza
909,Mayra Bueno Silva,Wu Yanan
910,Pat Sabatini,TJ Laramie
911,Mounir Lazzez,Ange Loosa
912,Devin Clark,William Knight
913,Pannie Kianzad,Lina Lansberg
914,Drakkar Klose,Brandon Jenkins
915,Rafa Garcia,Jesse Ronson
916,Martin Buday,Chris Barnett
917,Jordan Leavitt,Trey Ogden
918,Sam Hughes,Istela Nunes
919,Alatengheili,Kevin Croom
920,Alexander Volkanovski,Chan Sung Jung
921,Aljamain Sterling,Petr Yan
922,Khamzat Chimaev,Gilbert Burns
923,Mackenzie Dern,Tecia Torres
924,Mark Madsen,Vinc Pichel
925,Ian Garry,Darian Weeks
926,Anthony Hernandez,Josh Fremd
927,Raquel Pennington,Aspen Ladd
928,Mike Malott,Mickey Gall
929,Aleksei Oleinik,Jared Vanderaa
930,Piera Rodriguez,Kay Hansen
931,Julio Arce,Daniel Santos
932,Curtis Blaydes,Chris Daukaus
933,Alexa Grasso,Joanne Wood
934,Bryan Barberena,Matt Brown
935,Kai Kara-France,Askar Askarov
936,Neil Magny,Max Griffin
937,Marc Diakiese,Viacheslav Borshchev
938,Sara McMann,Karol Rosa
939,Chris Gutierrez,Batgerel Danaa
940,Aliaskhab Khizriev,Denis Tiuliulin
941,Manon Fiorot,Jennifer Maia
942,Matheus Nicolau,David Dvorak
943,Luis Saldana,Bruno Souza
944,Tom Aspinall,Alexander Volkov
945,Arnold Allen,Dan Hooker
946,Paddy Pimblett,Kazula Vargas
947,Gunnar Nelson,Takashi Sato
948,Molly McCann,Luana Carolina
949,Ilia Topuria,Jai Herbert
950,Makwan Amirkhani,Mike Grundy
951,Sergei Pavlovich,Shamil Abdurakhimov
952,Paul Craig,Nikita Krylov
953,Jack Shore,Timur Valiev
954,Elise Reed,Cory McKenna
955,Muhammad Mokaev,Cody Durden
956,Magomed Ankalaev,Thiago Santos
957,Song Yadong,Marlon Moraes
958,Sodiq Yusuff,Alex Caceres
959,Khalil Rountree Jr.,Karl Roberson
960,Drew Dober,Terrance McKinney
961,Alex Pereira,Bruno Silva
962,Matthew Semelsberger,AJ Fletcher
963,JJ Aldrich,Gillian Robertson
964,Javid Basharat,Trevin Jones
965,Damon Jackson,Kamuela Kirk
966,Miranda Maverick,Sabina Mazo
967,Cody Brundage,Dalcha Lungiambula
968,Guido Cannetti,Kris Moutinho
969,Azamat Murzakanov,Tafon Nchukwi
970,Colby Covington,Jorge Masvidal
971,Rafael Dos Anjos,Renato Moicano
972,Bryce Mitchell,Edson Barboza
973,Kevin Holland,Alex Oliveira
974,Serghei Spivac,Greg Hardy
975,Jalin Turner,Jamie Mullarkey
976,Marina Rodriguez,Yan Xiaonan
977,Nicolae Negumereanu,Kennedy Nzechukwu
978,Maryna Moroz,Mariya Agapova
979,Umar Nurmagomedov,Brian Kelleher
980,Tim Elliott,Tagir Ulanbekov
981,Ludovit Klein,Devonte Smith
982,Dustin Jacoby,Michal Oleksiejczuk
983,Islam Makhachev,Bobby Green
984,Wellington Turman,Misha Cirkunov
985,Priscila Cachoeira,Ji Yeon Kim
986,Arman Tsarukyan,Joel Alvarez
987,Armen Petrosyan,Gregory Rodrigues
988,Ignacio Bahamondes,Rongzhu
989,Josiane Nunes,Ramona Pascual
990,Terrance McKinney,Fares Ziam
991,Jonathan Martinez,Alejandro Perez
992,Ramiz Brahimaj,Micheal Gillmore
993,Carlos Hernandez,Victor Altamirano
994,Jamahal Hill,Johnny Walker
995,Kyle Daukaus,Jamie Pickett
996,Parker Porter,Alan Baudot
997,Jim Miller,Nikolas Motta
998,Joaquin Buckley,Abdul Razak Alhassan
999,David Onama,Gabriel Benitez
1000,Stephanie Egger,Jessica-Rose Clark
1001,Chas Skelly,Mark Striegl
1002,Gloria de Paula,Diana Belbita
1003,Chad Anheliger,Jesse Strader
1004,Jonathan Pearce,Christian Rodriguez
1005,Mario Bautista,Jay Perrin
1006,Israel Adesanya,Robert Whittaker
1007,Tai Tuivasa,Derrick Lewis
1008,Jared Cannonier,Derek Brunson
1009,Renato Moicano,Alexander Hernandez
1010,Bobby Green,Nasrat Haqparast
1011,Andrei Arlovski,Jared Vanderaa
1012,Casey O'Neill,Roxanne Modafferi
1013,Kyler Phillips,Marcelo Rojo
1014,Carlos Ulberg,Fabio Cherant
1015,Ronnie Lawrence,Mana Martinez
1016,Jacob Malkoun,AJ Dobson
1017,Douglas Silva de Andrade,Sergey Morozov
1018,Jeremiah Wells,Blood Diamond
1019,Maxim Grishin,William Knight
1020,Sean Strickland,Jack Hermansson
1021,Nick Maximov,Punahele Soriano
1022,Shavkat Rakhmonov,Carlston Harris
1023,Brendan Allen,Sam Alvey
1024,Bryan Battle,Tresean Gore
1025,Julian Erosa,Steven Peterson
1026,John Castaneda,Miles Johns
1027,Hakeem Dawodu,Michael Trizano
1028,Chidi Njokuani,Marc-Andre Barriault
1029,Alexis Davis,Julija Stoliarenko
1030,Jailton Almeida,Danilo Marques
1031,Phil Rowe,Jason Witt
1032,Malcolm Gordon,Denys Bondar
1033,Francis Ngannou,Ciryl Gane
1034,Deiveson Figueiredo,Brandon Moreno
1035,Michel Pereira,Andre Fialho
1036,Said Nurmagomedov,Cody Stamann
1037,Michael Morales,Trevin Giles
1038,Victor Henry,Raoni Barcelos
1039,Jack Della Maddalena,Pete Rodriguez
1040,Tony Gravely,Saimon Oliveira
1041,Matt Frevola,Genaro Valdez
1042,Vanessa Demopoulos,Silvana Gomez Juarez
1043,Jasmine Jasudavicius,Kay Hansen
1044,Calvin Kattar,Giga Chikadze
1045,Jake Collier,Chase Sherman
1046,Brandon Royval,Rogerio Bontorin
1047,Katlyn Cerminara,Jennifer Maia
1048,Viacheslav Borshchev,Dakota Bush
1049,Bill Algeo,Joanderson Brito
1050,Jamie Pickett,Joseph Holmes
1051,Court McGee,Ramiz Brahimaj
1052,Brian Kelleher,Kevin Croom
1053,TJ Brown,Charles Rosa
1054,Derrick Lewis,Chris Daukaus
1055,Belal Muhammad,Stephen Thompson
1056,Amanda Lemos,Angela Hill
1057,Ricky Simon,Raphael Assuncao
1058,Mateusz Gamrot,Diego Ferreira
1059,Cub Swanson,Darren Elkins
1060,Gerald Meerschaert,Dustin Stoltzfus
1061,Justin Tafa,Harry Hunsucker
1062,Melissa Gatto,Sijara Eubanks
1063,Charles Jourdain,Andre Ewell
1064,Raquel Pennington,Macy Chiasson
1065,Don'Tale Mayes,Josh Parisian
1066,Jordan Leavitt,Matt Sayles
1067,Charles Oliveira,Dustin Poirier
1068,Julianna Pena,Amanda Nunes
1069,Geoff Neal,Santiago Ponzinibbio
1070,Kai Kara-France,Cody Garbrandt
1071,Sean O'Malley,Raulian Paiva
1072,Josh Emmett,Dan Ige
1073,Dominick Cruz,Pedro Munhoz
1074,Tai Tuivasa,Augusto Sakai
1075,Bruno Silva,Jordan Wright
1076,Andre Muniz,Eryk Anders
1077,Erin Blanchfield,Miranda Maverick
1078,Ryan Hall,Darrick Minner
1079,Tony Kelley,Randy Costa
1080,Gillian Robertson,Priscila Cachoeira
1081,Jose Aldo,Rob Font
1082,Rafael Fiziev,Brad Riddell
1083,Jamahal Hill,Jimmy Crute
1084,Clay Guida,Leonardo Santos
1085,Chris Curtis,Brendan Allen
1086,Alex Morono,Mickey Gall
1087,Dusko Todorovic,Maki Pitolo
1088,Manel Kape,Zhalgas Zhumagulov
1089,Bryan Barberena,Darian Weeks
1090,Cheyanne Vlismas,Mallory Martin
1091,William Knight,Alonzo Menifield
1092,Claudio Puelles,Chris Gruetzemacher
1093,Vince Morales,Louis Smolka
1094,Ketlen Vieira,Miesha Tate
1095,Sean Brady,Michael Chiesa
1096,Taila Santos,Joanne Wood
1097,Rani Yahya,Kyung Ho Kang
1098,Adrian Yanez,Davey Grant
1099,Pat Sabatini,Tucker Lutz
1100,Rafa Garcia,Natan Levy
1101,Loopy Godinez,Loma Lookboonmee
1102,Cody Durden,Aoriqileng
1103,Shayilan Nuerdanbieke,Sean Soriano
1104,Luana Pinheiro,Sam Hughes
1105,Max Holloway,Yair Rodriguez
1106,Marcos Rogerio de Lima,Ben Rothwell
1107,Felicia Spencer,Leah Letson
1108,Khaos Williams,Miguel Baeza
1109,Song Yadong,Julio Arce
1110,Joel Alvarez,Thiago Moises
1111,Andrea Lee,Cynthia Calvillo
1112,Sean Woodson,Collin Anglin
1113,Cortney Casey,Liana Jojua
1114,Rafael Alves,Marc Diakiese
1115,Da Woon Jung,Kennedy Nzechukwu
1116,Kamaru Usman,Colby Covington
1117,Rose Namajunas,Zhang Weili
1118,Marlon Vera,Frankie Edgar
1119,Shane Burgos,Billy Quarantillo
1120,Justin Gaethje,Michael Chandler
1121,Alex Pereira,Andreas Michailidis
1122,Bobby Green,Al Iaquinta
1123,Chris Curtis,Phil Hawes
1124,Nassourdine Imavov,Edmen Shahbazyan
1125,Ian Garry,Jordan Williams
1126,Chris Barnett,Gian Villante
1127,Dustin Jacoby,John Allan
1128,Melsik Baghdasaryan,Bruno Souza
1129,Ode Osbourne,CJ Vergara
1130,Glover Teixeira,Jan Blachowicz
1131,Petr Yan,Cory Sandhagen
1132,Islam Makhachev,Dan Hooker
1133,Alexander Volkov,Marcin Tybura
1134,Khamzat Chimaev,Li Jingliang
1135,Magomed Ankalaev,Volkan Oezdemir
1136,Amanda Ribas,Virna Jandiroba
1137,Zubaira Tukhugov,Ricardo Ramos
1138,Albert Duraev,Roman Kopylov
1139,Elizeu Zaleski dos Santos,Benoit Saint Denis
1140,Michal Oleksiejczuk,Shamil Gamzatov
1141,Lerone Murphy,Makwan Amirkhani
1142,Andre Petroski,Hu Yaozong
1143,Tagir Ulanbekov,Allan Nascimento
1144,Marvin Vettori,Paulo Costa
1145,Grant Dawson,Ricky Glenn
1146,Jessica-Rose Clark,Joselyne Edwards
1147,Alex Caceres,SeungWoo Choi
1148,Francisco Trinaldo,Dwight Grant
1149,Nicolae Negumereanu,Ike Villanueva
1150,Gregory Rodrigues,JunYong Park
1151,Mason Jones,David Onama
1152,Tabatha Ricci,Maria Oliveira
1153,Jamie Pickett,Laureano Staropoli
1154,Jai Herbert,Khama Worthy
1155,Jeff Molina,Daniel Lacerda
1156,Randa Markos,Livinha Souza
1157,Jonathan Martinez,Zviad Lazishvili
1158,Norma Dumont,Aspen Ladd
1159,Andrei Arlovski,Carlos Felipe
1160,Jim Miller,Erick Gonzalez
1161,Manon Fiorot,Mayra Bueno Silva
1162,Nate Landwehr,Ludovit Klein
1163,Bruno Silva,Andrew Sanchez
1164,Danny Roberts,Ramazan Emeev
1165,Luana Carolina,Loopy Godinez
1166,Batgerel Danaa,Brandon Davis
1167,Ariane Carnelossi,Istela Nunes
1168,Marina Rodriguez,Mackenzie Dern
1169,Randy Brown,Jared Gooden
1170,Matheus Nicolau,Tim Elliott
1171,Mariya Agapova,Sabina Mazo
1172,Chris Gutierrez,Felipe Colares
1173,Alexandr Romanov,Jared Vanderaa
1174,Damon Jackson,Charles Rosa
1175,Loopy Godinez,Silvana Gomez Juarez
1176,Steve Garcia,Charlie Ontiveros
1177,Thiago Santos,Johnny Walker
1178,Kevin Holland,Kyle Daukaus
1179,Niko Price,Alex Oliveira
1180,Krzysztof Jotko,Misha Cirkunov
1181,Alexander Hernandez,Mike Breeden
1182,Jared Gordon,Joe Solecki
1183,Casey O'Neill,Antonina Shevchenko
1184,Karol Rosa,Bethe Correia
1185,Jamie Mullarkey,Devonte Smith
1186,Douglas Silva de Andrade,Gaetano Pirrello
1187,Stephanie Egger,Shanna Young
1188,Alejandro Perez,Johnny Eduardo
1189,Alexander Volkanovski,Brian Ortega
1190,Valentina Shevchenko,Lauren Murphy
1191,Robbie Lawler,Nick Diaz
1192,Curtis Blaydes,Jairzinho Rozenstruik
1193,Jessica Andrade,Cynthia Calvillo
1194,Merab Dvalishvili,Marlon Moraes
1195,Dan Hooker,Nasrat Haqparast
1196,Chris Daukaus,Shamil Abdurakhimov
1197,Taila Santos,Roxanne Modafferi
1198,Jalin Turner,Uros Medic
1199,Nick Maximov,Cody Brundage
1200,Matthew Semelsberger,Martin Sano
1201,Jonathan Pearce,Omar Morales
1202,Anthony Smith,Ryan Spann
1203,Ion Cutelaba,Devin Clark
1204,Ariane Lipski,Mandy Bohm
1205,Arman Tsarukyan,Christos Giagos
1206,Nate Maness,Tony Gravely
1207,Joaquin Buckley,Antonio Arroyo
1208,Tafon Nchukwi,Mike Rodriguez
1209,Raquel Pennington,Pannie Kianzad
1210,Rongzhu,Brandon Jenkins
1211,Montel Jackson,JP Buys
1212,Erin Blanchfield,Sarah Alpar
1213,Carlston Harris,Impa Kasanganay
1214,Gustavo Lopez,Alatengheili
1215,Hannah Goldy,Emily Whitmire
1216,Derek Brunson,Darren Till
1217,Tom Aspinall,Serghei Spivac
1218,Alex Morono,David Zawada
1219,Khalil Rountree Jr.,Modestas Bukauskas
1220,Paddy Pimblett,Luigi Vendramini
1221,Molly McCann,Ji Yeon Kim
1222,Jack Shore,Liudvik Sholinian
1223,Julian Erosa,Charles Jourdain
1224,Marc-Andre Barriault,Dalcha Lungiambula
1225,Giga Chikadze,Edson Barboza
1226,Bryan Battle,Gilbert Urbina
1227,Ricky Turcios,Brady Hiestand
1228,Daniel Rodriguez,Kevin Lee
1229,Andre Petroski,Micheal Gillmore
1230,Gerald Meerschaert,Makhmud Muradov
1231,Abdul Razak Alhassan,Alessio Di Chirico
1232,Wellington Turman,Sam Alvey
1233,Dustin Jacoby,Darren Stewart
1234,JJ Aldrich,Vanessa Demopoulos
1235,Pat Sabatini,Jamall Emmers
1236,Mana Martinez,Guido Cannetti
1237,Jared Cannonier,Kelvin Gastelum
1238,Mark Madsen,Clay Guida
1239,Parker Porter,Chase Sherman
1240,Saidyokub Kakhramonov,Trevin Jones
1241,Vinc Pichel,Austin Hubbard
1242,Alexandre Pantoja,Brandon Royval
1243,Austin Lingo,Luis Saldana
1244,Brian Kelleher,Domingo Pilarte
1245,Josiane Nunes,Bea Malecki
1246,William Knight,Fabio Cherant
1247,Ignacio Bahamondes,Roosevelt Roberts
1248,Ramiz Brahimaj,Sasha Palatnikov
1249,Ciryl Gane,Derrick Lewis
1250,Jose Aldo,Pedro Munhoz
1251,Vicente Luque,Michael Chiesa
1252,Tecia Torres,Angela Hill
1253,Song Yadong,Casey Kenney
1254,Rafael Fiziev,Bobby Green
1255,Vince Morales,Drako Rodriguez
1256,Alonzo Menifield,Ed Herman
1257,Jessica Penne,Karolina Kowalkiewicz
1258,Manel Kape,Ode Osbourne
1259,Miles Johns,Anderson Dos Santos
1260,Melissa Gatto,Victoria Leonardo
1261,Johnny Munoz,Jamey Simmons
1262,Sean Strickland,Uriah Hall
1263,Cheyanne Vlismas,Gloria de Paula
1264,Jared Gooden,Niklas Stolze
1265,Melsik Baghdasaryan,Collin Anglin
1266,Jason Witt,Bryan Barberena
1267,Chris Gruetzemacher,Rafa Garcia
1268,Danny Chavez,Kai Kamaka
1269,Jinh Yu Frey,Ashley Yoder
1270,Zarrukh Adashev,Ryan Benoit
1271,Phil Rowe,Orion Cosce
1272,TJ Dillashaw,Cory Sandhagen
1273,Raulian Paiva,Kyler Phillips
1274,Darren Elkins,Darrick Minner
1275,Maycee Barber,Miranda Maverick
1276,Adrian Yanez,Randy Costa
1277,Brendan Allen,Punahele Soriano
1278,Nassourdine Imavov,Ian Heinisch
1279,Mickey Gall,Jordan Williams
1280,Julio Arce,Andre Ewell
1281,Sijara Eubanks,Elise Reed
1282,Diana Belbita,Hannah Goldy
1283,Islam Makhachev,Thiago Moises
1284,Miesha Tate,Marion Reneau
1285,Mateusz Gamrot,Jeremy Stephens
1286,Rodolfo Vieira,Dustin Stoltzfus
1287,Billy Quarantillo,Gabriel Benitez
1288,Daniel Rodriguez,Preston Parsons
1289,Amanda Lemos,Montserrat Conejo Ruiz
1290,Sergey Morozov,Khalid Taha
1291,Malcolm Gordon,Francisco Figueiredo
1292,Alan Baudot,Rodrigo Nascimento
1293,Dustin Poirier,Conor McGregor
1294,Gilbert Burns,Stephen Thompson
1295,Tai Tuivasa,Greg Hardy
1296,Irene Aldana,Yana Santos
1297,Sean O'Malley,Kris Moutinho
1298,Max Griffin,Carlos Condit
1299,Michel Pereira,Niko Price
1300,Ilia Topuria,Ryan Hall
1301,Dricus Du Plessis,Trevin Giles
1302,Jennifer Maia,Jessica Eye
1303,Brad Tavares,Omari Akhmedov
1304,Zhalgas Zhumagulov,Jerome Rivera
1305,Ciryl Gane,Alexander Volkov
1306,Tanner Boser,Ovince Saint Preux
1307,Timur Valiev,Raoni Barcelos
1308,Andre Fili,Daniel Pineda
1309,Tim Means,Nicolas Dalby
1310,Renato Moicano,Jai Herbert
1311,Kennedy Nzechukwu,Danilo Marques
1312,Shavkat Rakhmonov,Michel Prazeres
1313,Jeremiah Wells,Warlley Alves
1314,Marcin Prachnio,Ike Villanueva
1315,Julia Avila,Julija Stoliarenko
1316,Charles Rosa,Justin Jaynes
1317,Damir Hadzovic,Yancy Medeiros
1318,Chan Sung Jung,Dan Ige
1319,Serghei Spivac,Aleksei Oleinik
1320,Marlon Vera,Davey Grant
1321,SeungWoo Choi,Julian Erosa
1322,Bruno Silva,Wellington Turman
1323,Matt Brown,Dhiego Lima
1324,Nicolae Negumereanu,Aleksa Camur
1325,Virna Jandiroba,Kanako Murata
1326,Khaos Williams,Matthew Semelsberger
1327,Josh Parisian,Roque Martinez
1328,Ricky Glenn,Joaquim Silva
1329,Casey O'Neill,Lara Procopio
1330,Israel Adesanya,Marvin Vettori
1331,Brandon Moreno,Deiveson Figueiredo
1332,Leon Edwards,Nate Diaz
1333,Belal Muhammad,Demian Maia
1334,Paul Craig,Jamahal Hill
1335,Brad Riddell,Drew Dober
1336,Eryk Anders,Darren Stewart
1337,Lauren Murphy,Joanne Wood
1338,Movsar Evloev,Hakeem Dawodu
1339,Pannie Kianzad,Alexis Davis
1340,Terrance McKinney,Matt Frevola
1341,Steven Peterson,Chase Hooper
1342,Fares Ziam,Luigi Vendramini
1343,Carlos Felipe,Jake Collier
1344,Jairzinho Rozenstruik,Augusto Sakai
1345,Marcin Tybura,Walt Harris
1346,Roman Dolidze,Laureano Staropoli
1347,Santiago Ponzinibbio,Miguel Baeza
1348,Gregory Rodrigues,Dusko Todorovic
1349,Montana De La Rosa,Ariane Lipski
1350,Ilir Latifi,Tanner Boser
1351,Muslim Salikhov,Francisco Trinaldo
